planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass
K2-133,,K2-133 b,3.07133,0.00011,1.34,0.0765,,,K2-133 e,26.5841,0.00175,1.73,0.135,,,,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,0.4605,0.01205,5,2,0.4639,0.01205,3560,67,,,0,0,0,0.600464101,1.913444758,1.600694773
K2-133,,K2-133 b,3.07133,0.00011,1.34,0.0765,,,K2-133 d,11.02454,0.000355,2.003,0.107,,,,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,0.4605,0.01205,5,2,0.4639,0.01205,3560,67,,,0,0,0,1.222867389,2.965307218,2.04439345
K2-136,1,K2-136 b,7.9752,0.00079,1.035581679,0.041064446,4.3,,K2-136 c,17.30713,0.00027,3.071973682,0.100727234,18.1,1.85,0,<a refstr=MAYO_ET_AL__2023 href=https://arxiv.org/abs/2304.02779 target=ref>Mayo et al. 2023</a>,0.713803597,0.039234517,9.725,8.645,0.69300216,0.019387565,4341.192848,55.75248666,0.281497799,0.109771963,0.880317,0.880634,1,1.685596273,3.530476209,1.055068161
K2-136,1,K2-136 b,7.9752,0.00079,1.035581679,0.041064446,4.3,,K2-136 d,25.575,0.00235,1.601750057,0.063221831,3,,1,<a refstr=MAYO_ET_AL__2023 href=https://arxiv.org/abs/2304.02779 target=ref>Mayo et al. 2023</a>,0.713803597,0.039234517,9.725,8.645,0.69300216,0.019387565,4341.192848,55.75248666,0.281497799,0.109771963,0,0,0,0.551328211,1.280738935,0.955084583
K2-148,,K2-148 b,4.38395,0.0008,1.33,0.185,,,K2-148 d,9.7579,0.001,1.64,0.225,,,,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.6269,0.01555,5,2,0.6158,0.01625,4091,105,-0.11,0.12,0,0,0,1.91746494,2.953921853,2.378293559
K2-148,,K2-148 b,4.38395,0.0008,1.33,0.185,,,K2-148 c,6.9226,0.0007,1.73,0.225,,,,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.6269,0.01555,5,2,0.6158,0.01625,4091,105,-0.11,0.12,0,0,0,2.584825405,3.34613406,2.602361743
K2-158,,K2-158 c,5.90279,0.00212,1.28,0.115,,,K2-158 b,10.06049,0.00141,2.64,0.13,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,0.8924,0.0339,5,2,0.9213,0.01253,5483,48.2,0.07,0.07,0,0,0,2.515708272,4.317874241,2.235256853
K2-165,nan,K2-165 b,2.354992,0.0002535,1.26184,0.1118,nan,nan,K2-165 d,14.101361,0.0011055,2.62194,0.1776,nan,nan,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,0.8341,0.039,5,2,0.7959,0.02535,5071,79,-0.05,0.08,0,0,0,1.154119646,2.77915182,1.5681868
K2-165,nan,K2-165 c,4.382745,0.000525,1.53877,0.14906,nan,nan,K2-165 d,14.101361,0.0011055,2.62194,0.1776,nan,nan,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,0.8341,0.039,5,2,0.7959,0.02535,5071,79,-0.05,0.08,0,0,0,3.0878499,6.2856397,3.7043596
K2-170,1,K2-170 b,7.576544,0.0017655,1.479866972,0.121548354,,,K2-170 c,12.400047,0.001809,1.881129996,0.139682496,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,1.012403163,0.067818515,3.694,3.549,1.024720653,0.038802271,5921.504564,134.6448071,-0.094875598,0.132839559,0,0,0,4.259024588,4.883838784,3.867463259
